gene,frequency,go_terms
Ntf3,3,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07)"
Apbb2,3,"axonogenesis (GO:0007409, p=1.13e-14); axon guidance (GO:0007411, p=1.27e-07); neuron projection guidance (GO:0097485, p=1.27e-07)"
Cacna1c,3,"locomotory behavior (GO:0007626, p=7.05e-06); regulation of developmental growth (GO:0048638, p=2.53e-05); adult locomotory behavior (GO:0008344, p=6.18e-05)"
Ccnd2,3,"locomotory behavior (GO:0007626, p=7.05e-06); regulation of developmental growth (GO:0048638, p=2.53e-05); adult locomotory behavior (GO:0008344, p=6.18e-05)"
Rap1gap2,3,"regulation of cell size (GO:0008361, p=1.96e-05); negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05)"
Akap13,2,"developmental cell growth (GO:0048588, p=1.75e-09); cell growth (GO:0016049, p=2.02e-05)"
Eps8,2,"locomotory behavior (GO:0007626, p=7.05e-06); adult locomotory behavior (GO:0008344, p=6.18e-05)"
Oxr1,2,"locomotory behavior (GO:0007626, p=7.05e-06); adult locomotory behavior (GO:0008344, p=6.18e-05)"
Atp1a3,2,"locomotory behavior (GO:0007626, p=7.05e-06); adult locomotory behavior (GO:0008344, p=6.18e-05)"
Pcdh15,2,"locomotory behavior (GO:0007626, p=7.05e-06); adult locomotory behavior (GO:0008344, p=6.18e-05)"
Prex2,2,"locomotory behavior (GO:0007626, p=7.05e-06); adult locomotory behavior (GO:0008344, p=6.18e-05)"
Tgfbr1,2,"cell growth (GO:0016049, p=2.02e-05); regulation of developmental growth (GO:0048638, p=2.53e-05)"
Dleu2,2,"negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05)"
Ntm,2,"negative regulation of neuron projection development (GO:0010977, p=2.14e-05); negative regulation of cell projection organization (GO:0031345, p=2.42e-05)"
Sparcl1,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Malat1,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Il1rapl1,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Hspa8,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Lingo2,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Lrfn2,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
C1ql3,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Gpm6a,2,"regulation of synapse organization (GO:0050807, p=1.23e-04); regulation of synapse structure or activity (GO:0050803, p=1.87e-04)"
Actb,1,"axonogenesis (GO:0007409, p=1.13e-14)"
Actg1,1,"axonogenesis (GO:0007409, p=1.13e-14)"
Aplp1,1,"axonogenesis (GO:0007409, p=1.13e-14)"
Plppr4,1,"axonogenesis (GO:0007409, p=1.13e-14)"
Kif26b,1,"developmental growth involved in morphogenesis (GO:0060560, p=2.22e-09)"
Grin2a,1,"locomotory behavior (GO:0007626, p=7.05e-06)"
Apba1,1,"locomotory behavior (GO:0007626, p=7.05e-06)"
Cacna1e,1,"locomotory behavior (GO:0007626, p=7.05e-06)"
Gnao1,1,"locomotory behavior (GO:0007626, p=7.05e-06)"
Large1,1,"locomotory behavior (GO:0007626, p=7.05e-06)"
Uba6,1,"locomotory behavior (GO:0007626, p=7.05e-06)"
Slc4a10,1,"locomotory behavior (GO:0007626, p=7.05e-06)"
Akt3,1,"regulation of cell size (GO:0008361, p=1.96e-05)"
Mbd5,1,"regulation of developmental growth (GO:0048638, p=2.53e-05)"
Cxadr,1,"regulation of developmental growth (GO:0048638, p=2.53e-05)"
