"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Cask",1.14081909916107e-08,-0.390200298651627,0.721,0.893,0.000285740959766872,"Cask","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Sh3gl2",1.18256523810815e-08,-0.441714697859256,0.681,0.845,0.000296197115188949,"Sh3gl2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"mt-Nd3",1.25333051762965e-08,1.39653083572931,0.309,0.178,0.000313921694750698,"mt-Nd3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Las1l",1.34650294882799e-08,0.693596863186652,0.745,0.724,0.000337258593592948,"Las1l","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Adk",1.42108052369255e-08,-0.64301871602212,0.354,0.543,0.000355938038769273,"Adk","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Luzp2",1.53475861819905e-08,-0.996815127560567,0.227,0.387,0.000384410991100315,"Luzp2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Grid2",1.57563031155695e-08,-0.402942541089124,0.81,0.89,0.00039464812413567,"Grid2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Cttnbp2",1.73802338067036e-08,-0.41099571340224,0.768,0.912,0.000435322716156505,"Cttnbp2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Gm16183",1.77846491291535e-08,-0.504550412913953,0.237,0.428,0.000445452106737908,"Gm16183","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Hsp90ab1",1.79710928850482e-08,1.02044532905552,0.585,0.514,0.000450121963491802,"Hsp90ab1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Shisa6",1.98127497633604e-08,-0.876529974562523,0.19,0.355,0.000496249943322889,"Shisa6","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Vstm2l",2.20213730065993e-08,-0.802617012265668,0.129,0.284,0.000551569329696292,"Vstm2l","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Slit2",2.27210878413152e-08,-0.609537556135374,0.403,0.578,0.000569095087161422,"Slit2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Adamtsl1",2.29769763040688e-08,-0.714732144880087,0.443,0.625,0.00057550432548801,"Adamtsl1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Safb",2.97847074611216e-08,-0.323056816380057,0.267,0.47,0.000746017567778712,"Safb","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Pcdh15",3.47994305541198e-08,-0.593114823830502,0.829,0.899,0.00087162133708904,"Pcdh15","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Eps15",3.72835462844276e-08,-0.54254188903004,0.222,0.402,0.000933840983786059,"Eps15","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Zfp385b",3.90820118461512e-08,-0.601349338004959,0.583,0.753,0.00097888715071055,"Zfp385b","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Sox5",4.09580667632044e-08,-0.513219016212821,0.389,0.564,0.00102587669821798,"Sox5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Fhit",4.44514874087456e-08,-0.639132733293482,0.33,0.508,0.00111337640512685,"Fhit","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"5730522E02Rik",4.5314167628091e-08,0.349364215306737,0.96,0.95,0.0011349839565808,"5730522E02Rik","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Runx2",4.59931933578079e-08,-0.885931326662573,0.187,0.351,0.00115199151403302,"Runx2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Sidt1",5.93011003036408e-08,-0.535989704967243,0.349,0.534,0.00148531465930529,"Sidt1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Gm20275",5.98789648356038e-08,-0.334205483801095,0.454,0.668,0.00149978843223737,"Gm20275","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Rsrc1",6.13202633968747e-08,-0.545331973001275,0.356,0.544,0.00153588863730152,"Rsrc1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Myo16",6.5808694976059e-08,-0.344325047784838,0.721,0.877,0.00164831038306535,"Myo16","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Nol4",6.61577184053109e-08,-0.406210432433504,0.593,0.774,0.00165705237289782,"Nol4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"A830018L16Rik",7.7148587250053e-08,-0.40403419890282,0.639,0.8,0.00193234066485208,"A830018L16Rik","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Invs",9.44679934314098e-08,-0.879302421062837,0.162,0.305,0.00236613983147652,"Invs","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Prkaa2",1.11412675944405e-07,-0.437694010855402,0.389,0.599,0.0027905532943795,"Prkaa2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Naa15",1.20780865356682e-07,-0.40600867694853,0.393,0.601,0.00302519833458881,"Naa15","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Epha3",1.22623505409849e-07,0.41453054496961,0.789,0.748,0.00307135094000049,"Epha3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Etl4",1.25189988771418e-07,-0.639729915367958,0.356,0.537,0.0031356336487577,"Etl4","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Slc24a3",1.287435011891e-07,-0.367926021816722,0.583,0.776,0.00322463847428338,"Slc24a3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Frmd4a",1.32900533887663e-07,-0.23512026920715,0.963,0.994,0.00332875967228429,"Frmd4a","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Scmh1",1.53114176000558e-07,-0.359745074576977,0.611,0.803,0.00383505076628598,"Scmh1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"C1ql3",1.66233748301842e-07,-0.936849394235167,0.145,0.287,0.00416365669371624,"C1ql3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Hs3st2",1.69766552368957e-07,-0.482465354577207,0.244,0.413,0.00425214283718527,"Hs3st2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Gpr158",1.76522255891046e-07,-0.441445237582684,0.679,0.825,0.00442135294330303,"Gpr158","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Khdrbs3",1.86178067450165e-07,-0.384034956856967,0.691,0.834,0.00466320205542428,"Khdrbs3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"E2f3",1.86680447059025e-07,-0.7873770984753,0.18,0.332,0.00467578515748739,"E2f3","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Pabpc1",1.9280304217417e-07,-0.384841227048534,0.377,0.57,0.00482913779733643,"Pabpc1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Fez1",2.07601472616803e-07,-0.425760131104509,0.283,0.465,0.00519979408463305,"Fez1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Zeb2",2.12632812427542e-07,-0.562397190423699,0.632,0.726,0.00532581405287264,"Zeb2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Crebzf",2.27351697525869e-07,-0.374101224782534,0.368,0.569,0.00569447796793045,"Crebzf","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Tubb5",2.5504879416117e-07,0.776284369251903,0.667,0.642,0.00638820714735484,"Tubb5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Gm43376",2.58533711528474e-07,-0.481169574882619,0.335,0.526,0.00647549387265368,"Gm43376","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Sorbs2os",2.59324214184081e-07,-0.459782837257378,0.232,0.409,0.00649529359266867,"Sorbs2os","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Adam23",2.6140968768728e-07,-0.360418134856666,0.639,0.823,0.00654752844750331,"Adam23","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Kcnq5",2.98963655722079e-07,-0.224915887848754,0.972,1,0.0074881426848709,"Kcnq5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Clmp",3.02899990665765e-07,-0.442532888270352,0.356,0.544,0.00758673606620542,"Clmp","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"4930590L20Rik",3.40422212117695e-07,-0.403195170317974,0.155,0.305,0.00852655514691191,"4930590L20Rik","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Syndig1",3.87298923444954e-07,-0.393322317819635,0.311,0.498,0.00970067613552577,"Syndig1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Rgs20",3.994791303163e-07,-0.823132638506795,0.131,0.262,0.0100057537770324,"Rgs20","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Ctnna2",4.09777840707582e-07,-0.209625230030455,0.986,0.995,0.0102637055762028,"Ctnna2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Rapgef5",4.13598136014397e-07,-0.356765969557887,0.667,0.814,0.0103593925127526,"Rapgef5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Gm48091",4.21319439006539e-07,-0.524581241755992,0.244,0.412,0.0105527879887968,"Gm48091","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Aim2",4.50171088422827e-07,-0.766974170695757,0.124,0.259,0.0112754352517265,"Aim2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Purg",4.62090938993161e-07,-0.370264000194112,0.365,0.561,0.0115739917489617,"Purg","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Sema3c",4.8014060131808e-07,-0.254137695412437,0.258,0.448,0.0120260816412139,"Sema3c","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Dcun1d2",4.93145183146391e-07,-0.39358081212008,0.183,0.343,0.0123518074022677,"Dcun1d2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Slc25a36",4.93855501562552e-07,-0.32694781585994,0.466,0.681,0.0123695987476373,"Slc25a36","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Rapgef1",5.30187202662083e-07,-0.419090231886392,0.354,0.54,0.0132795988650772,"Rapgef1","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Ankrd27",5.34290528762841e-07,-0.644966035098549,0.164,0.312,0.0133823748739229,"Ankrd27","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Akap13",5.3504626910709e-07,-0.918056300121725,0.183,0.32,0.0134013039023253,"Akap13","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Ddx5",5.50973903705291e-07,0.402268917569512,0.909,0.936,0.0138002433661064,"Ddx5","L45ExcitatoryNeurons","PTZvsSAL_24hr","Up"
"Diras2",5.67670780932705e-07,-0.799257173273152,0.143,0.282,0.0142184500500215,"Diras2","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
"Tmem200a",6.24167251101901e-07,-0.496301284614033,0.391,0.578,0.0156335171383493,"Tmem200a","L45ExcitatoryNeurons","PTZvsSAL_24hr","Down"
