"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Slc9a9",7.1497096607758e-20,0.473355124894884,0.787,0.495,1.79078777873451e-15,"Slc9a9","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm15738",7.97513214132013e-20,0.624627775298534,0.361,0.145,1.99753134743645e-15,"Gm15738","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Cdon",9.85387817668861e-20,0.509129450370246,0.475,0.217,2.4681008669152e-15,"Cdon","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Rnf150",9.94421246358e-20,0.503893146406854,0.773,0.48,2.49072689575288e-15,"Rnf150","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gpr137c",1.02214540004474e-19,0.585119455757262,0.59,0.322,2.56016758349206e-15,"Gpr137c","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Fhod3",1.09513244575048e-19,0.721836768259822,0.421,0.19,2.74297823687122e-15,"Fhod3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm19410",1.19822790171918e-19,0.905749490101425,0.257,0.083,3.00120142543604e-15,"Gm19410","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"A330102I10Rik",1.23671999677335e-19,0.387798255590885,0.599,0.301,3.09761257591822e-15,"A330102I10Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Rapgef4",1.23950092137765e-19,0.421133007670391,0.861,0.575,3.1045779577746e-15,"Rapgef4","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Far2",1.46407705871481e-19,0.567083589492059,0.523,0.258,3.66707380896298e-15,"Far2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Rmdn1",1.79160294093033e-19,0.463203230585488,0.63,0.32,4.48742788614819e-15,"Rmdn1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Cd46",2.01087191901014e-19,0.446958978575399,0.548,0.271,5.03663089554469e-15,"Cd46","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Tle1",2.42148020255072e-19,0.448697858985191,0.621,0.326,6.0650814633288e-15,"Tle1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Glcci1",2.73983017162296e-19,0.547682933318505,0.438,0.196,6.86245263086403e-15,"Glcci1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Dclk2",2.79961819983618e-19,0.41745579422794,0.707,0.394,7.01220370512967e-15,"Dclk2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Rimbp2",2.82619184773321e-19,0.434273797555587,0.8,0.481,7.07876272101736e-15,"Rimbp2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"3110082I17Rik",3.49872258457501e-19,0.790440892048117,0.289,0.103,8.76325045758503e-15,"3110082I17Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Mcph1",3.57855828394885e-19,0.49517834857652,0.45,0.203,8.96321493380669e-15,"Mcph1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Raver2",3.6041703987464e-19,0.432587613447331,0.713,0.414,9.02736559774011e-15,"Raver2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Gm43713",3.6439718676143e-19,0.868581960998397,0.252,0.081,9.12705633681355e-15,"Gm43713","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Mfhas1",3.7134479512979e-19,0.594588200777803,0.396,0.171,9.30107308361584e-15,"Mfhas1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Kcnq1ot1",3.74575587797782e-19,0.485890347329976,0.722,0.419,9.38199474757104e-15,"Kcnq1ot1","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Lrch3",4.78317728037742e-19,0.468085484528073,0.563,0.276,1.19804241341613e-14,"Lrch3","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"4930547E14Rik",5.03883011802888e-19,0.716541175371942,0.39,0.171,1.26207577966269e-14,"4930547E14Rik","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Snhg11",6.41440363372611e-19,-0.319761536883195,0.998,0.986,1.60661567813938e-14,"Snhg11","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Down"
"Nrg2",6.98003095698357e-19,0.51311018216949,0.364,0.15,1.74828835379567e-14,"Nrg2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Ubash3b",7.1834587454037e-19,0.468895266269699,0.384,0.16,1.79924091196127e-14,"Ubash3b","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Sfswap",7.88408546687461e-19,0.374762279987511,0.665,0.35,1.97472688688808e-14,"Sfswap","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
"Mtus2",9.05132519817282e-19,0.449608508058685,0.773,0.465,2.26708542238635e-14,"Mtus2","ExcitatoryNeuronsCA1","24hrvs1hr_SAL","Up"
