"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Tubb2a",4.8292907762275e-07,1.07283111595451,0.46,0.403,0.012095924607217,"Tubb2a","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Up"
"Gm49797",5.31888161592314e-07,-0.359592835768451,0.231,0.369,0.0133222027834027,"Gm49797","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Slc22a23",5.38483171201571e-07,-0.341117545907045,0.216,0.351,0.0134873879890858,"Slc22a23","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Ezh2",5.69741107792746e-07,-0.331042161752259,0.215,0.356,0.0142703055268849,"Ezh2","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Lcorl",5.80898001517979e-07,-0.299164341529805,0.582,0.761,0.0145497522440208,"Lcorl","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Paxbp1",6.65343416520138e-07,-0.292171736278142,0.265,0.413,0.0166648565535799,"Paxbp1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Snx13",6.91035070775631e-07,-0.319428472250236,0.246,0.384,0.0173083554177172,"Snx13","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Thrb",7.14280725369e-07,-0.330922603176187,0.307,0.459,0.0178905893283174,"Thrb","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Dmd",7.20668832980371e-07,-0.257100358605247,0.703,0.887,0.0180505922596594,"Dmd","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Syt1",7.51628187818036e-07,-0.256132486008413,0.84,0.943,0.0188260312202784,"Syt1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Nln",7.75663463383736e-07,-0.305931976303845,0.212,0.346,0.0194280427673724,"Nln","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Slc44a1",1.05756897598656e-06,-0.30850833695223,0.436,0.618,0.0264889301415353,"Slc44a1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Psmd14",1.06934969054895e-06,-0.332548330457937,0.343,0.498,0.0267840016991797,"Psmd14","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Dcp1b",1.08986788782155e-06,-0.299204206081085,0.144,0.254,0.0272979209862665,"Dcp1b","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Magi1",1.10344863526235e-06,-0.216559628173846,0.549,0.731,0.027638077967416,"Magi1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"St6galnac5",1.10820271810058e-06,-0.212392158695541,0.746,0.884,0.0277571534802653,"St6galnac5","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Dmtf1",1.11045648530379e-06,-0.422473368511754,0.165,0.282,0.0278136035874039,"Dmtf1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Pcdh9",1.13277602831391e-06,-0.210171005975238,0.954,0.972,0.0283726411811786,"Pcdh9","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Ipo11",1.17594198542406e-06,-0.252789342850538,0.259,0.41,0.0294538189089163,"Ipo11","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Ncoa5",1.19380480038614e-06,-0.390433022073144,0.177,0.293,0.0299012288352718,"Ncoa5","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Ptchd4",1.19684679691393e-06,-0.40133154339016,0.335,0.489,0.0299774217223031,"Ptchd4","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Thada",1.20302694228848e-06,-0.277421858066278,0.212,0.343,0.0301322158234996,"Thada","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Hdac8",1.23754292447368e-06,-0.412626359551304,0.199,0.323,0.0309967376292923,"Hdac8","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Pam",1.24440974888246e-06,-0.260442735582478,0.409,0.585,0.031168730980259,"Pam","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Spock3",1.30243275324067e-06,-0.325774843158774,0.573,0.73,0.0326220331704191,"Spock3","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Cmss1",1.38206147802171e-06,-0.374176848651028,0.25,0.384,0.0346164938400098,"Cmss1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Sema3e",1.40611953076632e-06,-0.295756334297124,0.451,0.634,0.0352190758871041,"Sema3e","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Ptprj",1.40669412515986e-06,-0.28684097695059,0.612,0.79,0.0352334677528791,"Ptprj","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Cog5",1.42010391521065e-06,-0.2396357065294,0.263,0.403,0.0355693427642812,"Cog5","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Down"
"Cox6a1",1.4640859370027e-06,1.22882185623181,0.307,0.216,0.0366709604641066,"Cox6a1","ExcitatoryNeuronsMatureDG","PTZvsSAL_24hr","Up"
