"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Ttll7",3.00643894602865e-14,0.546646745991203,0.63,0.312,7.53022762811797e-10,"Ttll7","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Hps4",3.01149916087483e-14,1.05077740872236,0.267,0.076,7.5429019482432e-10,"Hps4","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Jakmip3",3.34446684302252e-14,0.632948923308484,0.46,0.195,8.3768861017185e-10,"Jakmip3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Safb",3.35301750455584e-14,0.482070840314056,0.47,0.203,8.39830294366102e-10,"Safb","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Runx2",3.38718757784841e-14,1.16094511317357,0.351,0.134,8.48388872623691e-10,"Runx2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Tango2",3.6427049306422e-14,0.672137628556166,0.402,0.169,9.12388303977951e-10,"Tango2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Trpc1",3.84574755686525e-14,0.614513296918121,0.598,0.303,9.63244390568039e-10,"Trpc1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Lrrc28",4.76817797013069e-14,0.654356112839577,0.428,0.18,1.19428553617863e-09,"Lrrc28","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Akt3",4.92352258332801e-14,-0.384183912753291,0.992,0.989,1.23319470144617e-09,"Akt3","L45ExcitatoryNeurons","24hrvs1hr_SAL","Down"
"Clk1",5.2037309913876e-14,0.543521983293824,0.68,0.355,1.30337850141285e-09,"Clk1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Phc2",5.36103087962725e-14,0.483546237669392,0.502,0.216,1.34277740442024e-09,"Phc2","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Crhr1",5.75006828278225e-14,0.986459762755007,0.332,0.117,1.44021960278847e-09,"Crhr1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
"Nipa1",5.79059389183331e-14,0.651503069085433,0.332,0.113,1.45037005208749e-09,"Nipa1","L45ExcitatoryNeurons","24hrvs1hr_SAL","Up"
