"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation","Viz"
"Atp1b1",3.59507469746704e-07,-0.947712115350326,0.346,0.458,0.00900458359474569,"Atp1b1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Pou2f1",4.45038304417633e-07,1.01516819043965,0.56,0.299,0.0111468744107485,"Pou2f1","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Pbx1",5.15520148967464e-07,0.635032884140305,0.894,0.785,0.0129122331711881,"Pbx1","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Slc8a1",6.20699190338094e-07,-0.661549758895939,0.2,0.294,0.0155466526203982,"Slc8a1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Kcnh7",6.51668174084111e-07,-1.11858706062013,0.172,0.254,0.0163223327562847,"Kcnh7","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"Nkain2",7.88378949966217e-07,-0.755152173275401,0.47,0.537,0.0197465275598038,"Nkain2","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"8030451A03Rik",8.21820408420775e-07,1.03678223448367,0.397,0.181,0.0205841357697152,"8030451A03Rik","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"March1",1.27673852100912e-06,-0.818701118749157,0.227,0.311,0.0319784697357155,"March1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
"C130071C03Rik",1.53563194221075e-06,0.467046435579151,0.857,0.638,0.0384629732565526,"C130071C03Rik","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"Myo10",1.5468950375925e-06,0.902708063582751,0.421,0.186,0.0387450800065793,"Myo10","Astrocytes","24hrvs1hr_SAL","Up","Sig"
"mt-Co1",1.67986564116894e-06,-1.03082546681645,0.382,0.514,0.0420755947143583,"mt-Co1","Astrocytes","24hrvs1hr_SAL","Down","Sig"
