"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Rnf182",4.18171799826506e-12,-0.538689663593831,0.63,0.814,1.04739490702545e-07,"Rnf182","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Dynlt1a",4.45057636533543e-12,1.58228119253239,0.346,0.189,1.11473586222557e-07,"Dynlt1a","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Xpo1",4.54315662348328e-12,-0.537166389683908,0.522,0.732,1.13792443948386e-07,"Xpo1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Fth1",5.06774168127079e-12,-0.757062513069196,0.284,0.49,1.26931725890789e-07,"Fth1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Nefl",5.74569742124918e-12,-0.814181841710779,0.247,0.442,1.43912483310028e-07,"Nefl","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rplp1",6.49514758896791e-12,-0.687402412977996,0.337,0.557,1.62683961660879e-07,"Rplp1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"1700016P03Rik",7.05897762607878e-12,-1.02045543534428,0.106,0.275,1.76806212600395e-07,"1700016P03Rik","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ppfia2",7.44425334727445e-12,-0.281921999753443,0.985,0.997,1.86456213589183e-07,"Ppfia2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Mast1",8.26831092037676e-12,0.80982004234938,0.656,0.543,2.07096383622677e-07,"Mast1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Chchd2",8.32570043612332e-12,-0.878055309895628,0.192,0.384,2.08533818823581e-07,"Chchd2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Pom121",8.57363951675219e-12,-0.923176634809803,0.17,0.365,2.14743948976092e-07,"Pom121","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Msra",9.27068432474828e-12,0.465589422063496,0.969,0.981,2.3220283028197e-07,"Msra","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Ywhaz",9.86521092780663e-12,-0.520561566512447,0.678,0.861,2.47093938108773e-07,"Ywhaz","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Ywhah",9.96256454891408e-12,-0.625482573446391,0.403,0.611,2.49532354256651e-07,"Ywhah","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Hpca",1.12450266330174e-11,-0.936538381189871,0.293,0.493,2.81654182077187e-07,"Hpca","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Rps14",1.15464101885495e-11,-0.634462698804993,0.271,0.487,2.89202935992599e-07,"Rps14","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Tmsb4x",1.43436680821297e-11,-0.549514634016042,0.427,0.639,3.59265854453101e-07,"Tmsb4x","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Cltc",1.51187536104838e-11,-0.487162246235872,0.681,0.845,3.78679421681788e-07,"Cltc","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Arpp21",1.6446351543408e-11,0.282868962930003,0.985,0.991,4.1193176710774e-07,"Arpp21","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Rnmt",2.10324062060028e-11,-0.67064487392786,0.231,0.433,5.26798678241751e-07,"Rnmt","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"1810026B05Rik",2.41803280585387e-11,-0.786339752258719,0.284,0.484,6.05644676882219e-07,"1810026B05Rik","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Pkp2",2.68042375978278e-11,-0.775588756226878,0.412,0.588,6.71365739112793e-07,"Pkp2","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"H3f3b",3.50329541433748e-11,-0.654113991150099,0.311,0.52,8.77470402429107e-07,"H3f3b","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"4921511C10Rik",4.14317349682038e-11,1.25502266028279,0.427,0.277,1.0377406657486e-06,"4921511C10Rik","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Up"
"Ccser1",4.29357226969704e-11,-0.233413458486745,0.991,1,1.07541104639102e-06,"Ccser1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Nav3",5.31243542431272e-11,-0.293195553405353,0.982,0.997,1.33060570072761e-06,"Nav3","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Homer1",5.54109262883115e-11,-0.733068658316522,0.709,0.847,1.38787747074334e-06,"Homer1","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
"Chgb",6.48420987831326e-11,-1.04510708501195,0.249,0.431,1.62410004822112e-06,"Chgb","ExcitatoryNeuronsCA3","24hrvs1hr_PTZ","Down"
