"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison","Regulation"
"Grik2",2.66855235523104e-10,-0.548486016506459,0.848,0.95,6.68392308414717e-06,"Grik2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Auts2",2.70117893855098e-10,0.420557001685199,0.967,0.912,6.76564288738864e-06,"Auts2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc16a7",3.02360806159432e-10,0.923308012357827,0.591,0.395,7.5732311118753e-06,"Slc16a7","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rnf152",3.03455407345231e-10,1.43921280914409,0.338,0.162,7.60064758777599e-06,"Rnf152","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Neto2",3.4631431528586e-10,0.557773258418391,0.799,0.643,8.67413465496492e-06,"Neto2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Pfkp",3.96934530774954e-10,0.510612405413887,0.918,0.742,9.94201919232028e-06,"Pfkp","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Hip1",4.29345488077684e-10,1.092390859803,0.468,0.277,1.07538164398818e-05,"Hip1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Dpysl5",4.33406140548559e-10,0.85680651064483,0.625,0.415,1.08555236023198e-05,"Dpysl5","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc8a1",5.25649580722423e-10,-0.388509909205654,0.967,0.975,1.31659450483545e-05,"Slc8a1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Atp1b1",5.46030526487617e-10,-0.648038276945698,0.773,0.84,1.36764265969353e-05,"Atp1b1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Ntrk3",5.50269193562413e-10,0.628727261902801,0.866,0.714,1.37825924911578e-05,"Ntrk3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Akt3",5.95116275202762e-10,-0.345389497377672,0.978,0.987,1.49058773450036e-05,"Akt3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Tanc2",6.94831691443778e-10,0.327837031132427,0.989,0.972,1.74034493755923e-05,"Tanc2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"R3hdm1",7.22346744655555e-10,-0.680825942603791,0.937,0.953,1.80926189133877e-05,"R3hdm1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Pou2f2",7.97938041773937e-10,1.27358024158763,0.32,0.145,1.99859541323118e-05,"Pou2f2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Gm4258",8.2411709623052e-10,0.543344024804898,0.814,0.657,2.06416609092858e-05,"Gm4258","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Homer1",9.31364878263116e-10,-1.70033273117339,0.617,0.701,2.33278961058563e-05,"Homer1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Nasp",9.45055467331636e-10,1.24363728079408,0.357,0.175,2.36708042902555e-05,"Nasp","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Kcnq5",1.13888090370013e-09,0.52952976856422,0.881,0.733,2.85255499949771e-05,"Kcnq5","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Mapk10",1.21906083000858e-09,-0.971497985325709,0.81,0.847,3.05338166092249e-05,"Mapk10","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Hsp90aa1",1.36900306288679e-09,-0.770125815750607,0.468,0.654,3.42894197161256e-05,"Hsp90aa1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Syn3",1.70292576646364e-09,0.739542741837758,0.625,0.401,4.26531816726149e-05,"Syn3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc43a2",1.94657871135339e-09,1.02737067138895,0.387,0.192,4.87559569832683e-05,"Slc43a2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Dlg2",2.14949846995606e-09,0.308076772325597,1,1,5.38384881769894e-05,"Dlg2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Eps8",2.29139156624737e-09,1.32422137066459,0.45,0.274,5.73924845597978e-05,"Eps8","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rasgef1b",2.47305122270089e-09,0.474984379764037,0.903,0.8,6.19425139749893e-05,"Rasgef1b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Cdh18",2.65407686401679e-09,-0.924880932273724,0.888,0.928,6.64766632130286e-05,"Cdh18","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Tcf4",3.25765105341393e-09,0.445459017488761,0.963,0.884,8.15943859348586e-05,"Tcf4","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Polb",3.59723046586634e-09,0.784926026801815,0.647,0.448,9.00998314785541e-05,"Polb","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rxfp1",3.59753088286106e-09,0.896073460824779,0.595,0.423,9.0107356023021e-05,"Rxfp1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Galnt13",3.89482789488604e-09,-0.839285134529516,0.587,0.739,9.75537542832108e-05,"Galnt13","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Ephb1",4.04580142848616e-09,0.806886652829904,0.71,0.563,0.000101335188379293,"Ephb1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"mt-Nd1",4.18969543354656e-09,1.04075543612887,0.695,0.516,0.000104939301524041,"mt-Nd1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Pcbp2",4.29407150373717e-09,0.815058419358355,0.595,0.396,0.000107553608954105,"Pcbp2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Cacna1b",5.26243550318406e-09,0.606245341695368,0.84,0.739,0.000131808222048251,"Cacna1b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Mapt",5.90485774275966e-09,0.499906261189102,0.87,0.755,0.000147898971882901,"Mapt","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Sorcs2",6.51039503080377e-09,0.848878766402057,0.554,0.365,0.000163065864336542,"Sorcs2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Nav1",6.94768480549903e-09,0.779486702025415,0.632,0.461,0.000174018661323334,"Nav1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Galntl6",7.54300855549434e-09,-1.02838686204049,0.691,0.803,0.000188929735289467,"Galntl6","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Vxn",1.20484043264307e-08,-1.67836913221585,0.149,0.316,0.000301776383164111,"Vxn","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Prkd1",1.33169303547941e-08,0.517170435499759,0.703,0.502,0.000333549154596528,"Prkd1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Nhsl2",1.38698569575904e-08,-1.71745125565513,0.186,0.354,0.000347398307216767,"Nhsl2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Ankrd33b",1.9880115879308e-08,-2.10552529111652,0.1,0.259,0.000497937262429027,"Ankrd33b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Cdk19",2.01414077927341e-08,1.20480659103055,0.372,0.2,0.000504481840984611,"Cdk19","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"L1cam",2.04053120375205e-08,0.693441692067246,0.673,0.472,0.000511091850603776,"L1cam","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Eif2s3y",2.04581855542062e-08,0.93047114757786,0.461,0.278,0.000512416173576204,"Eif2s3y","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Itm2c",2.08038269314641e-08,-1.62017491935049,0.13,0.3,0.000521073453152382,"Itm2c","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Rapgefl1",2.37666804137522e-08,0.829409733294314,0.662,0.513,0.00059528404432325,"Rapgefl1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Map3k12",2.37820941817174e-08,0.967551740825709,0.428,0.25,0.000595670112969475,"Map3k12","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Fgf14",2.39951347150835e-08,-0.246269332990941,1,0.998,0.000601006139208696,"Fgf14","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Sbf1",2.74086012635175e-08,0.916987241834464,0.532,0.33,0.000686503235847324,"Sbf1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Col24a1",2.7545764859682e-08,0.868195641728859,0.26,0.112,0.000689938772440456,"Col24a1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Atp6v0c",3.37462128178462e-08,-0.632686408407745,0.472,0.659,0.000845241392448595,"Atp6v0c","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Arhgef1",3.64504302192382e-08,1.05969763524284,0.424,0.245,0.000912973925701258,"Arhgef1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Farp1",3.85137543981615e-08,0.502035952451713,0.762,0.64,0.000964654006410751,"Farp1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Kcnd2",3.86539873731312e-08,-0.580038752027092,0.926,0.943,0.000968166421734817,"Kcnd2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Zdhhc2",4.00783225746074e-08,0.886738963122106,0.528,0.354,0.00100384174552619,"Zdhhc2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Snap91",4.01763152023492e-08,0.497261315978484,0.851,0.77,0.00100629616687324,"Snap91","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ppp1r14c",4.07950316123563e-08,0.750660273112262,0.561,0.382,0.00102179315679469,"Ppp1r14c","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Smpd3",4.51376469415255e-08,0.755022411398452,0.599,0.409,0.00113056264294439,"Smpd3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Add3",5.82538972685591e-08,0.717018698166789,0.55,0.373,0.0014590853648856,"Add3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Pik3c2b",5.96024986644594e-08,1.2907281897695,0.297,0.145,0.00149286378404871,"Pik3c2b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ano3",5.96464836710482e-08,-1.27822135459468,0.465,0.564,0.00149396547650875,"Ano3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Slco3a1",7.18138699225302e-08,0.832320734033802,0.476,0.299,0.00179872199994961,"Slco3a1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Rbfox3",7.42059420251477e-08,0.48284404190442,0.888,0.775,0.00185863622990387,"Rbfox3","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Prrt1",7.84476477783501e-08,1.03005449475924,0.346,0.184,0.00196487823390434,"Prrt1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Sulf1",8.12695070052659e-08,-1.53901866786785,0.097,0.253,0.00203555734196089,"Sulf1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Plcb1",8.44772317507802e-08,-0.644351006402256,0.825,0.874,0.00211590122366179,"Plcb1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Lrfn2",8.60407772254439e-08,0.642386561058992,0.636,0.505,0.00215506334716569,"Lrfn2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Nptx1",9.19524474601092e-08,-1.51416649218654,0.16,0.322,0.00230313295153335,"Nptx1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Spock1",1.0172302340039e-07,-0.766247314453765,0.528,0.675,0.00254785656710957,"Spock1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"H3f3b",1.06818305343724e-07,-1.03852457581529,0.182,0.355,0.00267547809394425,"H3f3b","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Plppr1",1.09301205656315e-07,0.68342629785872,0.673,0.506,0.00273766729807371,"Plppr1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Slc35f4",1.16315265920662e-07,-0.92800238931042,0.494,0.627,0.00291334846551483,"Slc35f4","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Map6",1.42834706894393e-07,0.857499844006635,0.48,0.308,0.00357758090358385,"Map6","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Vcl",1.50728324520329e-07,-1.67324323469462,0.112,0.259,0.00377529234426068,"Vcl","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Fnbp1l",1.80654871799584e-07,0.443076738299289,0.866,0.766,0.00452486257396419,"Fnbp1l","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Grm5",1.84705545782574e-07,-0.355115254633496,0.993,0.995,0.00462631980521613,"Grm5","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Ranbp2",1.88473043711451e-07,-0.928083619849575,0.383,0.531,0.00472068432584072,"Ranbp2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Wwc1",1.99229261720231e-07,0.865712620486877,0.442,0.278,0.00499009531830663,"Wwc1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Tcp11l1",2.26119716302068e-07,0.881482404107988,0.368,0.204,0.00566362053421789,"Tcp11l1","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
"Ckb",2.51414100526557e-07,-0.821719139236381,0.357,0.527,0.00629716897588866,"Ckb","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Ppia",2.5180686021059e-07,-0.592096057123877,0.468,0.637,0.00630700642769465,"Ppia","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Down"
"Flrt2",2.70564559394868e-07,0.43737892254748,0.825,0.682,0.00677683051916326,"Flrt2","L56ExcitatoryNeurons","24hrvs1hr_PTZ","Up"
